epoch,train_loss,val_loss,val_top1,val_top5,epoch_time_seconds,learning_rate,train_samples_seen,val_samples_seen,is_smoke_test,trainable_ratio
1,5.013788223266602,6.27761173248291,0.0,0.0,0.7793141000147443,0.0005,4,4,True,0.049888258966206286
1,0.7936198028138415,0.6085574426094477,0.8193819381938194,0.9774977497749775,174.19301640599951,0.0005,31070,6666,False,0.049888258966206286
2,0.5577797049259042,0.561322043044339,0.8271827182718272,0.9798979897989799,176.36785234499985,0.0005,31070,6666,False,0.049888258966206286
3,0.4891501483462192,0.5351411946500131,0.8288328832883288,0.9837983798379838,176.62033824399987,0.0005,31070,6666,False,0.049888258966206286
4,0.44057757727847363,0.4997231207682927,0.8442844284428442,0.9843984398439845,179.9114504779991,0.0005,31070,6666,False,0.049888258966206286
5,0.402744758996236,0.5487813238236698,0.8366336633663366,0.9813981398139814,182.23741016500026,0.0005,31070,6666,False,0.049888258966206286
6,0.3722238349250785,0.46801929170041695,0.855985598559856,0.9867986798679867,181.19928520699978,0.0005,31070,6666,False,0.049888258966206286
7,0.3419571882501691,0.5215671516925838,0.8442844284428442,0.9873987398739874,179.86964326400084,0.0005,31070,6666,False,0.049888258966206286
8,0.33216466124049326,0.5263453072482961,0.8385838583858386,0.9861986198619862,180.29069688900017,0.0005,31070,6666,False,0.049888258966206286
9,0.31234812189192107,0.4793921908949933,0.8577857785778578,0.989048904890489,179.55449205600053,0.0005,31070,6666,False,0.049888258966206286
10,0.2882265258687157,0.5224392421022751,0.8529852985298529,0.986948694869487,180.30016334599895,0.0005,31070,6666,False,0.049888258966206286
11,0.2736391590194166,0.49434750213517176,0.8568856885688569,0.984998499849985,182.8061550750008,0.0005,31070,6666,False,0.049888258966206286
12,0.2573814754619221,0.5233568920925183,0.8522352235223523,0.9878487848784878,182.63604425800077,0.0005,31070,6666,False,0.049888258966206286
13,0.24501723165695483,0.5313551216007638,0.8556855685568557,0.984998499849985,185.43492363599944,0.0005,31070,6666,False,0.049888258966206286
14,0.2346056020769192,0.516648780428233,0.8624362436243624,0.9846984698469847,179.12109071099985,0.0005,31070,6666,False,0.049888258966206286
15,0.2252384437062266,0.5418257924607663,0.8597359735973598,0.9852985298529853,180.85819494499992,0.0005,31070,6666,False,0.049888258966206286
16,0.21210778477992281,0.5015303448765818,0.8643864386438644,0.9873987398739874,184.10127936499885,0.0005,31070,6666,False,0.049888258966206286
17,0.19750496884097538,0.5762922504775398,0.8588358835883588,0.9858985898589859,182.09554529100024,0.0005,31070,6666,False,0.049888258966206286
18,0.1944156397921808,0.5773777242759989,0.8558355835583559,0.9837983798379838,182.98244867700123,0.0005,31070,6666,False,0.049888258966206286
19,0.18652210752172488,0.5749403957303802,0.8583858385838584,0.9851485148514851,180.92180311299853,0.0005,31070,6666,False,0.049888258966206286
20,0.18382411112125793,0.5707764437166762,0.8615361536153615,0.9842484248424842,180.0622382649999,0.0005,31070,6666,False,0.049888258966206286
